sorgu|1st|2nd|3rd|4th|5th
 Metinde, Mustafa Kemal Atatürk'ü canlandıran oyuncular ve yapımlar hakkında bilgiler verilmiştir.|Küfizade Asaf Bey|Mustafa Kemal Atatürk|Anıtkabir|Anıtkabir|
Ataol Behramoğlu'na yönelik açılan manevi tazminat davasında Ankara 15. Asliye Hukuk Mahkemesi ne karar verdi?|Çatak, Haymana|Recep Tayyip Erdoğan|Karataş, Çankaya|Gökçek, Sincan|
Fred Hoyle kaç yaşında öldü?|Düz oranlı vergi|G/Ç metotları|Özcan Türe|Mūza Rubackytė|
Recep Tayyip Erdoğan, hangi siyasi partinin genel başkanıdır?|Arap-İsrail savaşları|Abdullah Gül|Abdullah Gül|Merkez Parti|
bir alanı işgal eden ve nesilden nesile üreyen aynı türe ait organizmalar grubuna popülasyon mu denir?|Kopepod|Ardanuç|Bazilika|İCloud|
Mumyalama, Eski Mısırlılar için ölümden sonraki yaşamın önemli bir parçası mıydı?|Monosodyum glutamat|Antik Mısır|Kırıkkale'de 2018 Türkiye cumhurbaşkanlığı ve genel seçimleri|Türkiye|
Wesley Clark hangi askeri akademide öğrenim gördü?|Giuseppe Torelli|İşçi Partisi (Norveç)|Kobe Bryant|André Billardon|
 Metinde, coğrafyanın beş temel unsuru ve bu unsurların açıklamaları verilmektedir. Bu unsurlar nelerdir ve nasıl tanımlanmaktadır?|Triumvirlik|Kimmerler|Amerika Birleşik Devletleri'nde LGBT tarihi|The Christmas Invasion|
Antik Mısır'da kadınlar, hukuk önünde eşit muamele görürler miydi?|Şok Doktrini|Gacallar|II. Dünya Savaşı sırasında tarafsız güçler|Anıtkabir|
Cezayir'in nüfusu kaç milyondur?|Cengiz Han|Ziyad Ceziri|Teke Sancağı|Aslı Demir|
Pozitivizmin üç aşama yasası nedir?|Gray Biyopsikolojik Kişilik Kuramı|Anthony Johnson|Bazilika|Peptik ülser hastalığı ve Helicobacter pylori'nin zaman çizelgesi|
Zafer Kulesi hangi bölümde yer almaktadır?|Wiesenthau|Obernbreit|Çin mitolojisi|Andenne|
Metinde, toplum biliminin tarihçesi, kuruluşu ve disiplinin içindeki gelişimi hakkında bilgiler verilmektedir.|Pisagor teoremi|Sosyoloji|Kütüklü, Harran|Irkların karışması|
Uğur Mumcu'nun siyasi duruşu ve gazetecilik kariyeri hakkındaki verilen bilgiler nelerdir?|Kesme taş|Çin mitolojisi|Sophia Brahe|The Christmas Invasion|
2001 yılında kurulan ilk üniversite hangi tarihte kurulmuştur?|Helsinki Üniversitesi|2001 Dünya Üniversiteler Kış Oyunları|Recep Tayyip Erdoğan|Somerville College, Oxford|
Metindeki bilgileri özetler misin?|Aslanapa|Selim Turan|Iballe|Egoist anarşizm|
William J. Clinton'un hayatı ve politik kariyeri hakkında ne söylenebilir?|Tokatlıoğlu|Şecere-i Türkî|Yayla (şirket, Türkiye)|Eylem Yıldız|
Cengiz Han'ın sahip olduğu topraklar hangi imparatorluğun büyüklüğündeydi?|Cengiz Han|Anadolu Selçuklu Devleti|Uti possidetis|MÖ 220|
Barış Manço ve Kurtalan Ekspres'in 1977 yılında yayımlanan albümün adı nedir?|Gül Onat|Esther Zimmering|Bir Ofis Romansı|İhsan Bayraktar|
Metinde Zazaca edebiyatının gelişimi, dergiler, yayınevleri ve televizyon yayınları hakkında hangi bilgiler verilmektedir?|Türkiye|Sosyal televizyon|Larus dominicanus|Havza (anlam ayrımı)|
Eski Krallık ve Orta Krallık dönemlerinde piramitlerin yapımı devam mı etmiştir?|Hayatta kalma yanılgısı|Hukuk|Monosodyum glutamat|Tafoni|
Yeni Krallık Dönemi'nde, Deniz Kavimleri Mısır'a saldırdı mı? |Monosodyum glutamat|Brillouin saçılması|Sosyoloji|Yayla (şirket, Türkiye)|
Metinde Zazaca diliyle çekilmiş filmler ve belgeseller hakkında hangi bilgiler verilmektedir?|Taylor Swift|Söz Vermiştin|Avrupa'da konuşulan diller|Bolşevizm|
Terry Gilliam'ın hangi filmi 1985 yılında çekilmiştir?|Bir Ofis Romansı|Almanya Acı Vatan|Sanaya Irani|22 Kasım|
Mısırlılar, Güneş'e dayalı bir takvim oluşturmuşlar mıydı?|Güneş tanrılarının listesi|İHeartRadio Müzik Ödülleri|Hayatta kalma yanılgısı|Deizm|
İstiklâl Marşı'nın bestesi kime aittir?|Monosodyum glutamat|Yayla (şirket, Türkiye)|Güneş Sigorta (kadın voleybol takımı)|Çin mitolojisi|
Habitat nedir?|Uzay psikolojisi|Moshe Safdie|Ekoloji|Moshe Safdie|
Metinde, bilgisayar mühendisliğinin tanımı, çalışma alanları ve tarihçesi hakkında bilgiler verilmektedir.|Wiesenthau|Zeytindalı, Akçakale|Küçük Asya'nın Abbasi işgali (806)|Irkların karışması|
Komünite, aynı coğrafi alanda yaşayan farklı türlerin popülasyonlarını içerir mi?|Miracle at St. Anna|Barış Manço|Kanüllü inek|Filibe Sinagogu|
Bu metinde yer alan tanrı gruplarının ve tanrıçalarının özellikleri nelerdir?|Güneş tanrılarının listesi|Moshe Safdie|Mongoose Operasyonu|Çin mitolojisi|
Anadolu'nun bilinen ilk sakinleri Hint-Avrupa milletlerindendir, doğru mu?|Dil|Necati Tığlı|Karaşeyh, Doğubayazıt|Genetik|
Metinde, bilgisayar programcılığının tanımı, programlama dilleri kullanarak donanıma iş yaptırma süreci ve bu süreçle ilgili bazı ilgili kavramlar hakkında bilgiler verilmektedir.|Bilgisayar programcılığı|Veri ambarı|Veri ambarı|Programlama dili|
Antropolojinin erken dönemlerinde hangi düşünce hakimdi?|Tıbbi antropoloji|Cerh ve Ta'dil|Koşma (edebiyat)|Elizabeth Dönemi|
Otrar Hadisesi ne zaman gerçekleşti?|Miracle at St. Anna|HADYEK|Selim Turan|637|
Mısır matematikçileri, sadece dört işlemi ve kesirleri mi kullanabiliyorlardı?|Monosodyum glutamat|Güneş Sigorta (kadın voleybol takımı)|İHeartRadio Müzik Ödülleri|Filantropizm|
Dil değişiminin sosyal etkenlere bağlı olduğu iddia edilebilir mi?|Nursultan Nazarbayev|Kimmerler|Eliptik dönen değişenler|Wiesenthau|
Tanıl Bora'nın kitabının ISBN numarası nedir?|Wiesenthau|Zalduondo|Potosí departmanı|Alabayır, Tuşba|
Mısır’da ticaret genellikle rahiplerin kontrolünde miydi?|G/Ç metotları|1787-1792 Osmanlı-Rus Savaşı|Bazilika|Amerika Birleşik Devletleri'nde LGBT tarihi|
Gençlerbirliği'nin ilk ciddi başarısını elde ettiği yıl hangisidir?|Zeytindalı, Akçakale|Triumvirlik|Hayatta kalma yanılgısı|Arap-İsrail savaşları|
Cengiz Han'ın hükümdarlık dönemi kaç yıl sürdü?|Cengiz Han|Brillouin saçılması|The Christmas Invasion|Mustafa Akıncı|
Dünyada gerçekleşen en büyük depremler hangileridir?|Rusya Sosyal Demokrat İşçi Partisi 5. Kongresi|Selim Turan|Karl-Gerät|Cengiz Han|
Pisagor teoremi hangi matematikçiye atfedilir?|Tequila, Jalisco|Merkez, Eyüpsultan|Eben-Emael Kalesi Muharebesi|Deus ex machina|
Barış Manço'nun Belçika'daki evi hangi isimle anılmaktadır?|Gent-Terneuzen Kanalı|Wiesenthau|Jaral del Progreso|Sabis Muharebesi|
II. Dünya Savaşı sonrasında Cezayir'de gerçekleşen ayaklanma hangi tarihte gerçekleşmiştir?|HADYEK|İzmir'de 1986 Türkiye milletvekili ara seçimleri|Cezayir|Antik Mısır|
Hierakonpolis'teki iklim değişikliği, bölge halkını Nil Nehri'nin taşkınlarından koruyacak sulama projelerini geliştirmeye yönlendirdi mi? |Kıyı taşkını|Hukuk|Mustafa Kemal Atatürk|Tafoni|
Neolitik çağdan itibaren Aliağa'ya yerleşen ve tarım yapan insanların sayısındaki artış oranı nedir?|Fenerbahçe (erkek voleybol takımı) 1990-91 sezonu|Cengiz Han|2019 Eurovision Şarkı Yarışması'nda Finlandiya|Hayatta kalma yanılgısı|
İslam hukuku, hukukun kaynağı olarak Kur’an’ı mı görür?|Hırka-i Şerif|Ermeni Kırımı'na Türk muhalefeti|Şok Doktrini|Harry Potter kurgusal evreni|
Recep Tayyip Erdoğan hangi medya kuruluşuna verdiği mülakatta eleştirildi?|Diyarbakır Muharebesi|İzmiroğlu Cüneyd Bey|Arap Sosyalist Hareketi (Şam hizbi)|Anıtkabir|
Mustafa Kemal'in milliyetçi mücadelesi sırasında iç ve dış politikadaki gelişmeleri özetleyiniz.|Küfizade Asaf Bey|Mustafa Kemal Atatürk|Yayla (şirket, Türkiye)|Girne Kalesi|
Metinde, İtalya'da kurulan oluşumlar ve kurumsal yan kuruluşlar hakkında bilgi verilmektedir.|Pizzoferrato|Pizzoferrato|Pizzoferrato|Marostica|
Hukuk, sadece bireyler arasındaki ilişkileri düzenleyen bir normatif bilim midir?|Erikli, Atakum|Aslanapa|Aziz Antonius Manastırı|Wiesenthau|
Metinde, Mustafa Kemal Atatürk'ün ölümünden sonra gerçekleşen anma etkinlikleri ve Atatürk'ün hayatı üzerine yapılan çalışmalar hakkında bilgiler verilmiştir. Ayrıca, Atatürk'ün kişisel yazıları ve eserleri ile ilgili bilgilere de değinilmiştir.|Mustafa Kemal Atatürk|Mustafa Kemal Atatürk|Anıtkabir|Mustafa Kemal Atatürk|
 Metinde, coğrafyanın tanımı, tarihi, temel ilkeleri ve dalları hakkında bilgiler verilmektedir.|Antik Mısır|The Christmas Invasion|Wiesenthau|Miracle at St. Anna|
Mustafa Kemal'in cumhuriyetle meşruti monarşi arasındaki farkları açıkladığı ve Türkiye Cumhuriyeti'nin ilan edilme sürecini anlatan metni özetleyiniz.|Mustafa Kemal Atatürk|Anıtkabir|Mustafa Kemal Atatürk|Girne Kalesi|
Zazaca dilinin coğrafi dağılımı ve sınıflandırılması hakkında neler söylenmektedir?|Çeşme|Anadolu Selçuklu Devleti|Nazan Öncel|Dilekkaya, Lefkoşa|
Galatasaray Kadın Sutopu Takımı, 2012 yılında Türkiye Kadınlar Sutopu 1. Ligi'nde şampiyon olmuş mudur?|Galatasaray SK|Galatasaray SK|Ahmet Reşat Arığ|Tuğba Karademir|
Metinde Zazaca dilinin akrabalık ilişkileri, kökeni ve edebiyatı hakkında hangi bilgiler verilmektedir ve nasıl geliştiği açıklanmaktadır?|Dil|Zeytindalı, Akçakale|Düz oranlı vergi|Esperanto|
Grafın temeli kim tarafından atılmıştır?|Manuil Vutumitis|Anıtkabir|Gazetelerin kitap ekleri|Ebru (anlam ayrımı)|
Napolyon Bonapart, Mısır'da bilimsel çalışmalar düzenlemiş midir?|4 Minutes|Düz oranlı vergi|Triumvirlik|Hayatta kalma yanılgısı|
Hitit İmparatorluğu'nun çöküşünden sonra Anadolu'da üstünlük elde eden devlet Frigler midir?|Sumaki Höyük|Kepler'in gezegensel hareket yasaları|Menhir|Cengiz Han|
Arkealar, bakterilerden farklı olarak, eşeysiz olarak çoğalır mı?|Kuşça, Cihanbeyli|Antik Mısır|Çin mitolojisi|Konjenital kalp defektleri|
Yıldız astronomisinin temel prensipleri ve yıldızların evrim süreçleri nelerdir?|Amerika Birleşik Devletleri'nde LGBT tarihi|I. Dünya Savaşı ordularının subay rütbe ve işaretleri|Bilecik'te 2019 Türkiye yerel seçimleri|İHeartRadio Müzik Ödülleri|
Mısır'da dünya da bilinen ilk barış antlaşması imzalanmış mıdır?|Recep Tayyip Erdoğan|Kuşça, Cihanbeyli|Zeytindalı, Akçakale|Sarıkaya, Kadınhanı|
Hangi FKF Genel Başkanı TİP üyesiydi ve seçildikten sonra MDD çizgisine geçti?|Suhoy Su-33|Ferit İlsever|Genetik|Genetik|
Bu metindeki bilgilere dayanarak Türkiye'de siyasi partilerin hukuki durumu ve mevcut listelerde yer alan siyasi partilerin durumu hakkında ne söylenebilir?|Türkiye'deki siyasi partiler listesi|Arap Sosyalist Hareketi (Şam hizbi)|Merkez Parti|Dior Eluchíl|
Mendel'in çalışmaları, modern genetiğin temellerini atmış mıdır?|İHeartRadio Müzik Ödülleri|Arap-İsrail savaşları|Kongo Nehri|Mardin'de 2023 Türkiye cumhurbaşkanlığı ve genel seçimleri|
Ankara Hükûmeti'nin iç politikadaki adımları ve dış politikadaki gelişmeleri özetleyiniz.|Gazi, Polatlı|Türkkarsak, Polatlı|Recep Tayyip Erdoğan|1871|
Kim 2004 yılında Yılın Avrupalısı seçildi ve Türkiye'nin Avrupa Birliği'ne katılımının medeniyetler çatışmasına yol açmayacağını belirten bir yorumda bulundu?|Faruk Kaymakcı|Mathieu Kérékou|Recep Tayyip Erdoğan|Gözaltında ölüm ve kaybolma|
Yehuling Savaşı'nda kaç Jin askeri hayatını kaybetti?|Cengiz Han|I. Dünya Savaşı ordularının subay rütbe ve işaretleri|Yayla (şirket, Türkiye)|Çin mitolojisi|
2020-2021 sezonunda 24 Erzincanspor futbol takımı hangi ligde yer almıştır?|Manchester United FC 2006-07 sezonu|Ricardinho (Mayıs 1976 doğumlu futbolcu)|Batuhan Şen|İHeartRadio Müzik Ödülleri|
Barış Manço'nun ilk video klibi hangi şarkı için çekilmiştir?|Alime Abdenanova|Anıtkabir|İHeartRadio Müzik Ödülleri|Kuşça, Cihanbeyli|
Metinde hangi dilbilgisi ve dil yapısı özellikleri hakkında bilgiler verilmektedir?|Hayatta kalma yanılgısı|Dil|Avından el alan|Bolşevizm|
Tören meydanının toplam ölçüsü nedir?|Peter Higgs|Ingress|Kimmerler|Manuil Vutumitis|
Otrar hadisesi sonrasında Harezmşah Muhammed hangi yıl Cengiz Han'a karşı savaş planı oluşturdu?|Türkiye|Miriam Schapiro|Ehl-i Hak|Babür-İngiliz Savaşı|
Orwell'in 1984 romanı, dilin politik olarak nasıl kullanılabileceğine dair bir örnek midir?|1984 Kış Olimpiyatları|Hayatta kalma yanılgısı|Nancy Angelo|Mongoose Operasyonu|
Hukuk, sadece devlet tarafından güvenceye alınmış ve cebrî yaptırımlara sahip olmalı mıdır?|Hukuk|Kimmerler|1978 Madrid saldırısı|Frodo Baggins|
Uğur Mumcu'nun hayatı ve gazetecilik kariyeri hakkında verilen bilgiler nelerdir?|Çin mitolojisi|Eylem Yıldız|Mongoose Operasyonu|Kesme taş|
Metinde, toplum bilimcilerin farklı araştırma yöntemlerini ve yaklaşımlarını kullanarak toplum bilimini nasıl anladıkları, özellikle nitel ve nicel araştırma yöntemlerinin önemi, ve toplumsal değişimi açıklamak için kullanılan sosyal teoriler hakkında bilgi verilmektedir.|Sosyoloji|Sosyoloji|Sosyoloji|Komün (sosyoloji)|
 Metinde, Ferrari'nin Formula 1'deki başarıları ve yaşadığı değişimler hakkında detaylı bilgiler yer almaktadır. Ferrari'nin Formula 1 tarihindeki önemli dönüm noktaları, kazandığı şampiyonluklar ve mücadeleleri anlatılmaktadır.|4 Minutes|Sophia Brahe|Mustafa Kemal Atatürk|Merkantilizm|
Cengiz Han, Kara Hıtayların son hükümdarı Güçlük'e karşı hangi yıl Cebe Noyan komutasında bir kuvvet yolladı?|Frodo Baggins|Ermeni Kırımı'na Türk muhalefeti|Ardanuç|Korcan Karar|
Barış Manço'nun oğlu Doğukan Hazar Manço ne zaman doğmuştur?|Genetik|Pritzker Mimarlık Ödülü|Beyşehir Gölü|Zazaca|
Anıtkabir'in inşaatı ne zaman tamamlanmıştır?|Uğur Mumcu|Amerika Birleşik Devletleri'nde LGBT tarihi|Mongoose Operasyonu|İHeartRadio Müzik Ödülleri|
Nişabur'da kaç gün içinde piramitlerin tamamı yapıldı?|1966|Sıkıntı|Recep Tayyip Erdoğan|Chang'e 4|
Asurlular, Mısır'ın kontrolünü vasallara bıraktı mı?|Münestir|Triumvirlik|Ardahan (il)|İspanya'daki Yahudi kültürünün altın çağı|
Nâzım Hikmet Kültür Merkezi'nin faaliyet gösterdiği şehirler hangileridir?|Hayatta kalma yanılgısı|Federal Deposit Insurance Corporation|G/Ç metotları|Bazilika|
Microsoft Windows 11'in kod adı nedir?|Fethi Karakaş|Evliya Çelebi|Özcan Türe|Yavuz Bülent Bâkiler|
İnşaatın kontrol şefliğine atanacak kişi ve bu göreve ne zaman getirildiği hakkında bilgi verebilir misiniz?|Bolşevizm|Zanlı|Bazilika|Hayatta kalma yanılgısı|
İsmet İnönü'nün siyasi kariyeri ne zaman başlamıştır?|Emmanuel Sanon|Emmanuel Sanon|Emmanuel Sanon|Emmanuel Sanon|
Termit yuvalarında sıcaklığın sabit tutulmasını sağlayan yapı nedir?|Yahyalı|II. Dünya Savaşı sırasında tarafsız güçler|Antik Mısır|Fenerbahçe (erkek voleybol takımı) 1990-91 sezonu|
Metinde, Y kuşağının tanımı, doğum aralığı, dijital teknolojilere olan aşinalığı, yaşadığı ekonomik ve siyasi etkiler, ve diğer kuşaklarla ilişkisi hakkında bilgiler verilmektedir.|Hukuk|Sahte anı|Burhan Haldun Dağı|Zazaca|
Fizik, sadece mühendislikte simülasyon üretmek için mi kullanılır?|Bazilika|Württemberg Krallığı|Bilgelik|Cakewalk Sonar|
Hukuk sistemlerinin kaynağı Roma hukuku mudur?|Hukuk|Uti possidetis|Arazi toplulaştırma|Türkiye|
Birleşmiş Milletler'e üye kaç ülke vardır?|Aslanapa|Beyköy, Köşk|Erikli, Atakum|Elizabeth Dönemi|
Gestuno, Dünya İşitme Engelliler Federasyonu'nun kongresinde mi ele alınmıştır?|Güneş Sigorta (kadın voleybol takımı)|Dior Eluchíl|Sahte anı|Mustafa Kemal Atatürk|
Filogeni, biyolojik sınıflandırmanın temelini oluşturur mu?|Zazaca|Irkların karışması|İHeartRadio Müzik Ödülleri|Yönlendirici|
Ebru kelimesi Farsça kökenli midir?|Ebru (anlam ayrımı)|Cengiz Han|Faik Baysal Kütüphanesi|MÖ 21. yüzyıl|
Astronominin dalları, alanları ve konuları nelerdir?|Küfizade Asaf Bey|Amerika Birleşik Devletleri'nde LGBT tarihi|Nafiye Güneç Kıyak|İHeartRadio Müzik Ödülleri|
Hayvanlar, belirlenmiş işaret sistemlerini kullanarak iletişim kurabilirler mi?|Charlotte Brontë|Kültürel boyutlar teorisi|Çanakkale'de Haziran 2015 Türkiye genel seçimleri|Merkantilizm|
Cezayir müziğinin en çok bilinen türü nedir?|Görgü tanığının ifadesi|Koçköy, Tuşba|Küçük Asya'nın Abbasi işgali (806)|Polimerlerin kristalizasyonu|
Mustafa Kemal Paşa, Samsun'a çıkarken yanında sadece askeri personel mi vardı?|Küfizade Asaf Bey|Mustafa Kemal Atatürk|Mustafa Kemal Atatürk|Mustafa Kemal Atatürk|
Tunceli'de kaç köy bulunmaktadır?|İspanya'daki Yahudi kültürünün altın çağı|Brillouin saçılması|Anadolu Selçuklu Devleti|Triumvirlik|
 Metinde Atatürk'ün doğum tarihiyle ilgili bilgiler nelerdir ve bu konudaki belirsizlik nasıl açıklanmaktadır?|Görgü tanığının ifadesi|Beyşehir Gölü|Mustafa Kemal Atatürk|Mustafa Kemal Atatürk|
Metinde hangi siyasi partiden ve tarihlerden bahsedilmektedir?|Arap Sosyalist Hareketi (Şam hizbi)|Abdullah Gül|Beyaz Rusya Komünist Partisi|İç Makedon Devrimci Örgütü - Makedonya'nın Ulusal Birliği Demokratik Partisi|
Mayoz, DNA replikasyonunu takiben iki bölünme geçirerek dört haploid yavru hücre mi oluşturur?|Biyoloji|Genetik|Genetik|Genetik|
Karmaşık sayılar hangi sayı kavramının bir uzantısı olarak ortaya çıkmıştır?|Serseng Baraj Gölü|Hayatta kalma yanılgısı|Miriam Schapiro|Fenerbahçe (erkek voleybol takımı) 1990-91 sezonu|
Temuçin kaç yaşındayken evlendi?|Cengiz Han|Miracle at St. Anna|Cengiz Han|Suhoy Su-33|
Sultan Celaleddin'in Gazne'deki Moğol ordusunu yendiği savaşta kaç askerle yerleşmişti?|Güneri Bey|Alime Abdenanova|Çaka Bey|Anadolu Selçuklu Devleti|
Pertek Belediyespor kadın takımı, hangi ligde yer almaktadır ve kendi grubunda kaçıncı olmuştur?|Wiesenthau|Çin mitolojisi|US5|Zazaca|
Mustafa Kemal'in askeri başarıları ve Türk Kurtuluş Savaşı'nın son aşamalarındaki gelişmeler hakkında bilgi veriniz.|Ebru (anlam ayrımı)|Küfizade Asaf Bey|Salmanlı obası|Girne Kalesi|
Gül 29 Ekim 1950'de Kayseri'de dünyaya gelen kimdir?|Korkunç Yıllar|Radyo ve Televizyon Yüksek Kurulu|II. Dünya Savaşı sırasında tarafsız güçler|Çanakkale'de 1955 Türkiye yerel seçimleri|
Temuçin ve Tuğrul Han arasındaki anlaşmazlık hangi yıl başlamıştır?|Merkez, Eyüpsultan|Tequila, Jalisco|Kanlıgeçit Höyük|The Christmas Invasion|
Metinde, Ferrari'nin kurucusu Enzo Ferrari'nin hayatı ve şirketin tarihçesi hakkında detaylı bilgiler yer almaktadır. Ferrari'nin başarıları, maddi zorluklarla mücadelesi ve Enzo Ferrari'nin ölümüne ilişkin çeşitli görüşler metinde yer alır.|Camugnano|Ficarazzi|Vito d'Asio|Romagnese|
Anıtkabir'in toplam yüzölçümü ne kadardır ve bu alanın kaç m2'si Barış Parkı'na ayrılmıştır?|Kimmerler|Mongoose Operasyonu|Küçük Asya'nın Abbasi işgali (806)|Yahyalı|
Güneydoğu Anadolu Bölgesi'nde hangi dağ yer alır ve hangi yüksekliğe sahiptir?|Wiesenthau|Sabis Muharebesi|Triumvirlik|Deizm|
Metinde, Porsche AG'nin kuruluşu, ürettiği modeller, yarış başarıları ve iş birlikleri hakkında bilgiler bulunmaktadır.|Mazgirt|1660 Büyük İstanbul Yangını|Burhan Haldun Dağı|Çin mitolojisi|
Şeref Holü'nde hangi yazılar ve mesajlar yer almaktadır?|Wiesenthau|Obernbreit|Wi-Fi Protected Access|Zazaca|
 Metinde, Mustafa Kemal Atatürk'ün aşk hayatı, evlilikleri ve manevi evlatları hakkında bilgiler verilmiştir. Ayrıca, Atatürk'ün dinî inancıyla ilgili farklı görüşler ve belirtilen sözler de açıklanmıştır.|Mustafa Kemal Atatürk|Mustafa Kemal Atatürk|Anıtkabir|Mustafa Kemal Atatürk|
İşaret dili, görsel olarak algılanan bir doğal dil sistemi midir?|Esperanto|Helenleştirme|Dil|Dil|
Fazilet Partisi 1. Olağan Kongresi ne zaman yapılmıştır?|Çin mitolojisi|Düz oranlı vergi|Tequila, Jalisco|Monosodyum glutamat|
Metinde ulaşımın çeşitleri nelerdir ve hangi yollar başlıca ulaşım yolları olarak belirtilmiştir?|Çin mitolojisi|Triumvirlik|Wiesenthau|Amerika Birleşik Devletleri'nde LGBT tarihi|
Mustafa Kemal'in cumhuriyet döneminde gerçekleştirdiği devrimler ve politikaları özetleyiniz.|Küfizade Asaf Bey|Mustafa Kemal Atatürk|Amerika Birleşik Devletleri'nde LGBT tarihi|Saruhan Sancağı|
Yoda, Luke Skywalker'ı bataklıklarda eğitmek için Dagobah gezegenine gitti mi?|Yoda|Yoda|Yoda|Yoda|
Metinde, coğrafya alanındaki temel paradigmaların tarihçesi ve belirli dönemlerdeki etkileri açıklanmaktadır. Hangi paradigmalar belirli dönemlerde öne çıkmıştır ve hangi düşünceleri temsil etmişlerdir?|Koşma (edebiyat)|Koşma (edebiyat)|Elizabeth Dönemi|Cerh ve Ta'dil|
Yıldız Savaşları'nın Yüksek Cumhuriyet dönemi kaç yıl öncesine dayanmaktadır?|Yahyalı|Frodo Baggins|Kesme taş|Tafoni|
Hücre ölümüne ne ad verilir?|PH metre|Bavyeralı Theodbert|Ardanuç|Baruch Spinoza|
Sinema sanatının kaç temel öğesi vardır?|Antik Mısır|Filibe Sinagogu|Bir Ofis Romansı|Kırıkkale'de 2018 Türkiye cumhurbaşkanlığı ve genel seçimleri|
Galatasaray, 1999-2000 sezonunda UEFA Kupası'nı kazanarak bir Avrupa Kupası kazanan ilk ve tek Türk futbol kulübü olmuş mudur?|Gençlerbirliği SK|Ramazan Keskin|2001-02 UEFA Kupası|Ömer Hacısalihoğlu|
Recep Tayyip Erdoğan hangi okullarda eğitim almıştır?|Recep Tayyip Erdoğan|Can Dündar|Recep Tayyip Erdoğan|Okey|
Elektronik mühendisliği kaç dalı inceler?|Anadolu Selçuklu Devleti|Çin mitolojisi|Hayatta kalma yanılgısı|Ardanuç|
Antik Atina'da hukuk bilimi veya hukuka dair bir kelimeye rastlanmış mıdır?|The Jackson 5|Birleşik Krallık hükûmeti|Hepat|Çin mitolojisi|
Audi'nin dünyanın ilk tamamen alüminyumdan yapılmış seri üretim otomobili hangisidir?|Tavuk yağı|Wonton|Zazaca|Zeytindalı, Akçakale|
Metinde Ferrari'nin 2007 Formula 1 sezonundaki performansı ve yaşanan olaylar hakkında detaylı bilgiler yer almaktadır. Ayrıca, Ferrari'nin satış prensipleri ve otomobil modelleri hakkında da bilgi verilmektedir.|Şahaloğlu, Refahiye|2019 Almanya Grand Prix|Derovere|Merkantilizm|
1984'te Hindistan'da gerçekleşen ve yaklaşık 1000 kişinin öldüğü olay nedir?|1141|1984 Kış Olimpiyatları|Medcezir (dizi)|G/Ç metotları|
Türkiye'nin sınırlarını paylaştığı ülkeler arasında İran var mıdır?|Salih Hacıoğlu|XIX. Asır Türk Edebiyatı Tarihi|Türkiye|Adnan Sadık Erzi|
Hangi mitolojilerde depremlerin sebepleri hakkında inançlar bulunmaktadır?|Triumvirlik|Danla Bilic|İspanya'daki Yahudi kültürünün altın çağı|Anıtkabir|
Hangi seçimde George W. Bush ikinci kez ABD başkanlığına seçildi?|Triumvirlik|Bazilika|Alibeyli, Sumbas|Amerika Birleşik Devletleri'nde LGBT tarihi|
Mısır'da, granit, kumtaşı ve alabaster gibi yüksek kalitede yapı taşları bulunuyor muydu?|Brillouin saçılması|Frodo Baggins|Şevket Uğurluer|Çin mitolojisi|
Bu listedeki Mısır tanrılarının çoğu hangi cinsiyete aittir?|Triumvirlik|Hayatta kalma yanılgısı|Kimmerler|İspanya'daki Yahudi kültürünün altın çağı|
Metinde Ferrari'nin çeşitli modelleri ve üretim tarihleri detaylı bir şekilde listelenmiştir. Ayrıca, Ferrari'nin farklı segmentlerdeki arabaları ve üretim yılları hakkında bilgi verilmektedir.|Matelica|Romagnese|Derovere|Bazilika|
Temuçin'in kaç yıl önce nişanlandığı Börte ile evlilik düğünü yapmak için yola çıktığı belirtilmiştir?|The Christmas Invasion|Aleksandr Markoviç Polyakov|İHeartRadio Müzik Ödülleri|Tafoni|
Metinde, farklı toplumsal kuramların ve yaklaşımların temsilcileri ile ilgili bilgiler verilmektedir. Ayrıca, toplum biliminin toplumsal psikoloji ile ilişkisi ve bu alandaki temel kavramlar ele alınmaktadır.|Komün (sosyoloji)|Sosyoloji|Eşit Bakım Emeği Günü|Toplumsal eleştiri|
Ahmet Şık hangi konuları ele alan kitaplar yazmıştır?|Avından el alan|Hayatta kalma yanılgısı|Zazaca|Medcezir (dizi)|
Karl Marx'ın damadı olan sosyalist kimdir?|Karl Marx|Karl Marx|Karl Marx|Karl Marx|
Hücre zarı, çift katlı lipit katmanından oluşur ve tam geçirgen midir?|Ingress|Mongoose Operasyonu|Zanlı|Ardanuç|
Varlık fenomen olarak kabul edildiğinde hangi felsefi görüş ortaya çıkar?|Bozkurt işareti|Çin mitolojisi|Baruch Spinoza|Anıtkabir|
İsmet İnönü'nün kabri nerededir?|Nejla Demirci|Mika Lintilä|İsmet İnönü|Barış Manço|
Yarı ölü bir dilde üst yaşlardan binlerce konuşan olması dilin yok olmasını engeller mi?|Oksijen izotopu|Tusken Akıncıları|Çin mitolojisi|Hayatta kalma yanılgısı|
Osmanlı İmparatorluğu’nda Tehcir Kanunu ile Ermeniler, Suriye'ye göç ettirilmiş midir?|Saruhan Sancağı|Altı İmparator Yılı|Cengiz Han|İki kutsal caminin hizmetkârı|
